811c9dc5 
c4a1ed95 Aatrox_Recall_Weapon_glow
15c521b2 Aatrox_Skin02_Recall_Sword
0fb3d0fd Aatrox_Taunt_Ground
d4169892 Aatrox_W_Beam_Tar
aeabc40a Aatrox_W_Beam_Tar_Break
94355808 Aatrox_W_Beam_Tar_Pull
be06f3a2 Aatrox_W_Cas
f792bbba Aatrox_W_Core
e3dc3792 Aatrox_W_Core_Area
a6431cec Aatrox_W_Core_End
62112686 Aatrox_W_Hand_glow_cas
b1b7bba2 Aatrox_W_Hit_Tar
005bf1ec Aatrox_W_mis
ad346194 Aatrox_Wings_MAT
b3e1a182 Aatrox_Z_DianaMaskGlow
a39f5d88 Aatrox_Z_EyeGlow
508e82b7 Aatrox_Z_FloorSlash
768419e6 Aatrox_Z_FloorSlashDirt
ea7c1b8b Aatrox_Z_IdleGlow
dded8951 Aatrox_Z_IdleSparkles
dc5332e8 Aatrox_Z_RecallBuff
81b96be7 Aatrox_Z_RecallHits
74fa6c30 Aatrox_Z_RecallMaskTrails
19d392bb AbilityHasteMythicPassive
7c408434 AbilityPowerMax
6a2b4d26 AbilityPowerMin
a593637d AbilityResourceThresholdIndicator_Moonlight
8be259f9 Absorbed
424a669a Acc
c184c16c Accessories1
c484c625 Accessories2
c384c492 Accessories3
230eacfb ActionMask
3f434070 Activate
d9547c40 ActivationDelay
ef1820ba ActivationDistance
d975992f Active
0b31873d ActiveADToArmorRatio
682f991b ActiveAPToMRRatio
67b851b1 ActiveBADRatio
d928f29f ActiveBaseDamage
6721e4a1 ActiveBaseResists
1e8d73fe ActiveDamage
cc1d21f3 ActiveExecutePercent
481ba086 ActiveMaxDamage
3ff396be ActiveMaxStacks
10364260 ActivePerStackAmp
767cf894 ActivePlant
2bbb6bbf ActivePlant1
2cbb6d52 ActivePlant2
2dbb6ee5 ActivePlant3
26bb63e0 ActivePlant4
27bb6573 ActivePlant5
f65b2e9c ActivePlant_Base
f8c35e47 ActiveTotalExecuteDamage
daac0635 Active_Base
f3e86427 Active_Bud
001b87a2 Active_Fruit
0624b593 Active_Stalk
17dae490 Active_Stem1
2d3bdaf2 ActualCooldown
986561b6 ActualDamage
8298075e AdaptiveAD
969826da AdaptiveAP
6f039626 AdaptiveForce
14d5f8b0 AdditionalADRatio
3be361c4 AdditionalBaseDamage
9b62b1ba AdditionalBonusCalc
a4948451 AdditionalChunkHealing
026fdafd AdditionalDamage
a0dcaa4c AdditionalMovementSpeed
9738309b AdditionalSlowPercentAtMax
7956b39f AdditionalStunDurationOverTime
7a54fa42 AdditionalTargets
06a6a0a5 Additive
dc225a69 Additive_Buffbone
48198e2b Addturn
8ec1277e Adjust
b6517d0f Adult
dcb6f853 AerocraftW
a49b71d9 AerocraftWVFX
23c6a259 AfterburnerTimeTooltip
908e2cdf AftershockAPRatio
fadb2e80 AftershockDamage
2cd62ab4 AftershockMinionMulti
3fb502ed Aggro
dd631e80 Aggro_Idle
5e9bec6f Ahri_BA_mis
52033543 Ahri_BA_tar
7128ce17 Ahri_Body_MAT
dc5a39d7 Ahri_Boots_HG_Avatar
20239a64 Ahri_Boots_Homeguard
49a30a12 Ahri_Death_01
8b2eae78 Ahri_EM_laugh_01
86793cbf Ahri_E_buf
fe3db783 Ahri_E_cas
be632239 Ahri_E_mis
9ef9fe3d Ahri_E_tar
54aa3fd2 Ahri_HandGlow
1d05f47a Ahri_HandPixels
7e5d94f2 Ahri_I_Orb_mat
32f020e7 Ahri_I_Orb_mat_child
07958918 Ahri_I_tailDust
1b0bbcbf Ahri_Idle1
1f3436c7 Ahri_Orb
db30dfb9 Ahri_Orb_cas
5421f896 Ahri_P
c442a7b9 Ahri_P_Heal
b8cf5144 Ahri_P_SoulCrusher_buf_01
e437e482 Ahri_P_tar
3c7ee03f Ahri_Q_Cas
0ae4bb15 Ahri_Q_Speed
41087c9d Ahri_Q_mis
9cdc6ff0 Ahri_Q_mis_02
364c5db1 Ahri_Q_tar
e3b92bd4 Ahri_Q_tar_02
cb2f43ef Ahri_R_BodyOverlay_01
11373c32 Ahri_R_Mis_child01
79ef0960 Ahri_R_Ready_tar
4b6eba64 Ahri_R_Tar
e93cb957 Ahri_R_Tumblekick_tar_02
23610036 Ahri_R_cas
3ed79638 Ahri_R_mis
07b5b707 Ahri_R_mis_02
d8bfa33e Ahri_Recall_Arm_L01
bf0854bc Ahri_Recall_Arm_R01
a2c0b971 Ahri_Recall_Chest_01
5b5442ae Ahri_Recall_Heart_01
ec8f168e Ahri_Recall_Leg_01
eb8f14fb Ahri_Recall_Leg_02
f942c7a0 Ahri_Recall_Love
cada395e Ahri_Recall_PixelBurst
cc316928 Ahri_Recall_PowerBeam_01
8c6f90a4 Ahri_Recall_Screen
e3f28805 Ahri_Recall_Sparkles_child01
e93d1c0b Ahri_Recall_Transform_02
b57e4c71 Ahri_Recall_swirl_child01
b27e47b8 Ahri_Recall_swirl_child02
b37e494b Ahri_Recall_swirl_child03
4cac2f14 Ahri_Respawn_01
b6e2ad8f Ahri_Scarf
8bd75fc2 Ahri_Skin15_Body
6a6eeb95 Ahri_Skin15_E_ChildOrb_1
14df3ef4 Ahri_Skin15_E_ChildrenTrails_1
ac826c81 Ahri_Skin15_Q_ChildOrb_1
ed32ba68 Ahri_Skin15_Q_ChildrenTrails_1
a642d986 Ahri_Skin15_R_ChildOrb_1
cc552267 Ahri_Skin15_R_ChildrenTrails_1
50c02647 Ahri_Skin15_R_Missile_ChildOrb_1
8547363a Ahri_Skin15_R_Missile_ChildrenTrails_1
126d911b Ahri_Skin15_Recall_Bubbles
f17b42ab Ahri_Skin15_Recall_Orb_Projectors
a054be34 Ahri_Skin15_Recall_Popstar_Cohesive
f3245828 Ahri_Skin15_Recall_Tails_Open
a51d62d4 Ahri_Skin15_Recall_Tails_Opening_Small
e9c76455 Ahri_Skin15_Tail_Mat
abde4a27 Ahri_Skin15_Taunt_Flash
46394013 Ahri_Skin16_Idle_Tails
9741ebbb Ahri_TailColor
65a54f55 Ahri_TailPixels
91607ee1 Ahri_Tail_MAT
9f22afd4 Ahri_Tails_MAT
c1e4e73e Ahri_Taunt
ac1fcd31 Ahri_W_cas
ebfa627b Ahri_W_mis
cb2a6252 Ahri_W_mis_02
cc2a63e5 Ahri_W_mis_03
c52a58e0 Ahri_W_mis_04
85608efa Ahri_W_mis_P02
8660908d Ahri_W_mis_P03
936bd25d Ahri_W_mis_child01
443f9c7f Ahri_W_tar
68443eaf Ahri_W_weap_cas
1a6af3e4 Ahri__Tumblekick_tar_01
3bcf3595 Ahri_dance
1f1175b8 Ahri_finisher_camera_001
22117a71 Ahri_finisher_camera_002
211178de Ahri_finisher_camera_003
3ba5bf91 Ahri_recall_pulse
1100531a AirPlane1
10005187 AirPlane2
0f004ff4 AirPlane3
e8f8c489 AirPunch
87bc295d AirShip
53f4058b AirShip2_Grnd0
52f403f8 AirShip2_Grnd1
51442206 AirShip2_Skn
47189d84 AirShip3_Grnd0
48189f17 AirShip3_Grnd1
31e326f9 AirShip3_Skn
d1104659 AirShip4_Grnd0
d01044c6 AirShip4_Grnd1
6c6f3244 AirShip4_Skn
c903edeb AirShip_Grnd0
c803ec58 AirShip_Grnd1
3ddeb4e6 AirShip_Skn
113fcb24 Air_Body
81dc5969 Air_Collar
34dc9e56 Air_Staff
e2364457 Airbag
f9d45e9a Airbag_Mat
f686a673 Aircraft
03b2aa91 Aircraft_Fan
9783b426 Airship_Grnd_Root
309f860b Akali
b7bca6dc AkaliLogo
639b3c4f Akali_BA_Line_strike
0c445590 Akali_BA_Swipe
1089f43d Akali_BA_Swipe_2
85992c39 Akali_BA_Tar
2beb5cb7 Akali_Base_Body_Mat
91b87aab Akali_Bloodmoon_Body_Mat
d3a4f52c Akali_Crit_Tar
34e0c5c4 Akali_Dance_Mask
f78d2087 Akali_Dragon
fd5ccbfd Akali_E_Dash_Dust
67e38f4a Akali_E_Dash_Snow
579c2858 Akali_E_Dash_Water
e7d64196 Akali_E_Enemy_Indicator
cfa270b6 Akali_E_Enemy_Indicator_Animate
65bc66ba Akali_E_Enemy_Indicator_Animate_Red
e64baf23 Akali_E_Enemy_Indicator_Animate_child
5b19da43 Akali_E_Enemy_Indicator_Animate_child_Red
2dca26da Akali_E_Enemy_Indicator_Red
ffd2e6ec Akali_E_Enemy_Indicator_Smoke
1706dff8 Akali_E_Enemy_Indicator_Smoke_red
c1fc4f1d Akali_E_HasHit_Shuriken
33ac6667 Akali_E_Mis
cdc78009 Akali_E_Missed_Ground
f06cf682 Akali_E_Missed_Ground_Dust
2688c28d Akali_E_Missed_Ground_Snow
9e82712d Akali_E_Missed_Ground_Water
8e028f69 Akali_E_Run
40403122 Akali_E_Run_Dust
8fa8b22d Akali_E_Run_Snow
7e42ae4d Akali_E_Run_Water
f41a6d9b Akali_E_Tar
6be85dff Akali_E_Trail_02
37be90d3 Akali_Gem
90242fc8 Akali_Headhunter_Body_Mat
f3f67d47 Akali_Heal_tar_child
b2436ea5 Akali_I_IdleSparkles
367de337 Akali_Idle_Fire
708707f6 Akali_Idle_Glow
